2014,McLaren,P1,8,10,10,10,10,48,6,3,7,1,6,23,71,38:13,https://www.youtube.com/watch?v=og-cW8zMGBc&t=231s,Newport Beach,California,UK
2019,McLaren,Senna,7,10,10,10,10,47,6,2,8,1,7,24,71,33:51,https://www.youtube.com/watch?v=Wpq4Y57K1eU&t=120s,Boerne,Texas,UK
2019,Lamborghini,Urus,6,8,6,7,7,34,8,7,8,8,6,37,71,19:47,https://www.youtube.com/watch?v=X5ZHl3GERI0,La Jolla,California,Italy
2015,Ferrari,458 Speciale A,8,9,10,10,8,45,6,4,8,2,6,26,71,21:12,https://www.youtube.com/watch?v=ujl0NYeDJoI,Irvine,California,Italy
2018,Porsche,911 GT2RS,7,10,10,10,9,46,6,3,8,2,6,25,71,21:30,https://www.youtube.com/watch?v=C3N61UZ6Z84,Redwood City,California,Germany
2015,Lamborghini,Huracan,8,10,9,9,8,44,6,4,8,2,7,27,71,12:25,https://www.youtube.com/watch?v=D65RF_9CX-E,Alpharetta,Georgia,Italy
2005,Porsche,Carrera GT,9,9,10,10,10,48,3,3,9,1,7,23,71,10:40,https://www.youtube.com/watch?v=-ByuqStqUPQ,Beachwood,Ohio,Germany
2020,McLaren,Elva,9,10,10,10,10,49,5,2,7,1,6,21,70,29:32,https://www.youtube.com/watch?v=0LIv2FgQFlE,San Diego,California,UK
2022,Porsche,Cayenne Turbo GT,7,9,6,6,6,34,8,6,8,8,6,36,70,24:29,https://www.youtube.com/watch?v=fcjz-1BIgq4,San Diego,California,Germany
2015,Ferrari,F12 Berlinetta,8,9,9,9,8,43,6,5,7,2,7,27,70,20:00,https://www.youtube.com/watch?v=KSHyG7ltAiA,San Diego,California,Italy
2021,Ferrari,Roma,8,9,8,8,7,40,7,5,8,3,7,30,70,27:30,https://www.youtube.com/watch?v=E_FqSJg5DPc,Orange County,California,Italy
2021,McLaren,765LT,8,10,10,9,9,46,6,3,7,2,6,24,70,13:16,https://www.youtube.com/watch?v=LKH6Wh5TXSU&t=17s,San Diego,California,UK
2019,Aston Martin,Vanquish Shooting Brake,9,8,7,8,9,41,6,5,8,4,6,29,70,27:22,https://www.youtube.com/watch?v=1ZQOHL9Ty4k&t=87s,Newport Beach,California,UK
2021,Audi,RS7,7,9,6,7,6,35,9,7,8,6,5,35,70,20:08,https://www.youtube.com/watch?v=N60ms3j2cjw&t=18s,Los Angeles,California,Germany
2021,Lamborghini ,Centenario,9,10,9,10,10,48,6,3,7,1,5,22,70,30:14,https://www.youtube.com/watch?v=WXRFYiMlMLs,Newport Beach,California,Italy
2020,Porsche,Cayenne Turbo S Coupe,7,8,6,6,6,33,8,7,8,8,6,37,70,26:27,https://www.youtube.com/watch?v=Gf4AMgKM28E,San Diego,California,Germany
2019,Ford,GT,8,10,10,10,10,48,6,2,7,1,6,22,70,35:53,https://www.youtube.com/watch?v=o7aDXuZWeVc&t=305s,Huntington Beach,California,USA
2019,McLaren,720S Spider,8,10,9,10,8,45,6,4,7,2,6,25,70,23:16,https://www.youtube.com/watch?v=W9CvaI8FXgs,San Diego,California,UK
2016,Ferrari,488 Spider,9,9,9,9,8,44,6,4,8,2,6,26,70,15:02,https://www.youtube.com/watch?v=iqxIu1cyRfk&t=1s,Colts Neck,New Jersey,Italy
2019,Lamborghini,Aventador SVJ,8,10,9,10,9,46,6,3,7,2,6,24,70,24:03,https://www.youtube.com/watch?v=vmLOdP1DhX8,Newport Coast,California,Italy
2018,Lamborghini,Huracan Performante,8,10,10,9,8,45,6,3,8,2,6,25,70,26:23,https://www.youtube.com/watch?v=aB-qzVue3xw,Costa Mesa,California,Italy
2022,Maserati ,MC20,9,10,8,8,8,43,6,4,7,2,7,26,69,29:40,https://www.youtube.com/watch?v=Sx2hfymNarI,San Diego,California,Italy
2018,BMW,M5,7,10,6,7,6,36,8,7,7,5,6,33,69,25:24,https://www.youtube.com/watch?v=xGBqwZ9iBOQ,Santa Ana,California,Germany
2020,Audi,RSQ8,7,8,5,6,6,32,8,7,8,8,6,37,69,22:15,https://www.youtube.com/watch?v=Zg_bLK5XChA,Los Angeles,California,Germany
2021,Porsche,911 Turbo S (992),7,10,8,8,7,40,7,5,8,3,6,29,69,25:27,https://www.youtube.com/watch?v=kBeNR58BH-Q,San Diego,California,Germany
2005,Pagani,Zonda S Roadster,9,9,10,10,10,48,4,3,7,1,6,21,69,33:26,https://www.youtube.com/watch?v=nXDbQznrG7o,Newport Beach,California,Italy
2017,Pagani,Huayra Roadster,9,9,10,9,10,47,5,3,7,1,6,22,69,35:53,https://www.youtube.com/watch?v=Td2iuMkH85o,Upland,California,Italy
2012,Pagani,Huayra,9,9,10,9,10,47,5,3,7,1,6,22,69,39:08,https://www.youtube.com/watch?v=WnyPtKQKP3Y,Newport Beach,California,Italy
2008,Koenigsegg,CCX,8,9,10,10,10,47,4,3,7,1,7,22,69,32:22,https://www.youtube.com/watch?v=9E0uPfIujgU,Upland,California,Sweden
2019,Porsche,Cayenne Turbo,7,8,6,6,5,32,8,7,8,8,6,37,69,23:41,https://www.youtube.com/watch?v=2-AYvKres_w,Long Beach,California,Germany
2019,Aston Martin,DBS Superleggera,8,9,7,8,8,40,6,5,8,4,6,29,69,23:46,https://www.youtube.com/watch?v=izle7V1URGQ,Newport Beach,California,UK
2019,Bentley,Continental GT,7,8,6,6,7,34,8,8,9,4,6,35,69,23:51,https://www.youtube.com/watch?v=EoDf3aUI5dw,La Jolla,California,UK
2018,Ferrari,Portofino,8,9,8,8,7,40,6,6,8,3,6,29,69,24:21,https://www.youtube.com/watch?v=qjsc8it2CEo&t=233s,Newport Beach,California,Italy
2017,McLaren,720S,8,10,9,9,8,44,6,4,7,2,6,25,69,25:45,https://www.youtube.com/watch?v=mhTQ22cHrYQ,West Chester,Pennsylvania,UK
2018,BMW,M760i,6,8,6,5,6,31,9,9,8,6,6,38,69,27:47,https://www.youtube.com/watch?v=fg5S3cFwzKI,Devon,Pennsylvania,Germany
2017,Audi,R8 V10 Plus,7,10,8,9,7,41,7,5,8,2,6,28,69,14:29,https://www.youtube.com/watch?v=ytk34Cl_cY8,Bridgewater,New Jersey,Germany
2022,Acura,NSX Type S,8,10,8,8,7,41,6,5,8,2,6,27,68,29:33,https://www.youtube.com/watch?v=OpnkA0bGjTM,San Diego,California,Japan
2021,Ford,Mustang Mach-E GT,6,8,6,6,5,31,8,6,7,9,7,37,68,21:20,https://www.youtube.com/watch?v=tS-Bnl7SKbg&t=527s,San Diego,California,USA
2022,Cadillac,CT5-V Blackwing,6,8,6,8,7,35,8,7,6,5,7,33,68,28:30,https://www.youtube.com/watch?v=G0eYIuTCEuA&t=1s,San Diego,California,USA
2022,Porsche,911 GT3 Touring,7,9,9,9,8,42,6,4,8,2,6,26,68,12:53,https://www.youtube.com/watch?v=pboh2HTlPjg,San Diego,California,Germany
2021,BMW,Alpina XB7,6,8,5,5,5,29,9,8,8,9,5,39,68,24:47,https://www.youtube.com/watch?v=kh3UmoLAVOw&t=1232s,Santa Ana,California,Germany
2022,Porsche,911 GT3,7,9,9,9,8,42,6,4,8,2,6,26,68,29:04,https://www.youtube.com/watch?v=wfu07Eq6pSc,Los Angeles,California,Germany
2021,BMW,M3,6,7,7,8,6,34,8,7,7,5,7,34,68,29:32,https://www.youtube.com/watch?v=hucRrlWhWaU&t=2s,Santa Ana,California,Germany
2021,Dodge,Ram TRX,7,8,4,8,6,33,7,6,6,8,8,35,68,26:44,https://www.youtube.com/watch?v=sZUzdaQg7JM,San Diego,California,USA
2014,Bugatti ,Veyron Vitesse,8,10,8,10,10,46,4,4,7,1,6,22,68,35:30,https://www.youtube.com/watch?v=SINyunKIqfI,Palm Beach,Florida,France
2014,Audi,RS7,7,8,6,7,6,34,7,7,8,6,6,34,68,22:15,https://www.youtube.com/watch?v=lTBP1FdnhBU,King of Prussia,Pennsylvania,Germany
2020,BMW,X5M Competition,7,8,6,7,5,33,8,6,7,8,6,35,68,27:22,https://www.youtube.com/watch?v=FImmFwcXpb4&t=1s,Newport Beach,California,Germany
2021,Bentley,Bentayga V8,5,7,5,6,6,29,8,9,8,8,6,39,68,25:42,https://www.youtube.com/watch?v=zDG0zNQIC_M&t=64s,San Diego,California,UK
2016,McLaren,675LT,7,10,10,9,8,44,6,3,6,2,7,24,68,25:23,https://www.youtube.com/watch?v=YSjaugLaP2E,Newport Beach,California,UK
